time,value
1581612224519,132
1581612224544,131
1581612224569,132
1581612224595,132
1581612224621,132
1581612224646,131
1581612224672,132
1581612224825,131
1581612224851,132
1581612224954,131
1581612224979,132
1581612225157,131
1581612225208,132
1581612225234,131
1581612225285,132
1581612225362,131
1581612225388,132
1581612225822,131
1581612225872,132
1581612225973,130
1581612225998,131
1581612226075,132
1581612226177,130
1581612226203,132
1581612226228,131
1581612226255,132
1581612226357,131
1581612226382,132
1581612226584,131
1581612226662,132
1581612226813,131
1581612226864,132
1581612226939,131
1581612226964,132
1581612226990,132
1581612227067,132
1581612227399,131
1581612227424,132
1581612227784,131
1581612227889,132
1581612227990,131
1581612228015,132
1581612228040,130
1581612228066,132
1581612228399,131
1581612228449,132
1581612228577,130
1581612228602,132
1581612228654,130
1581612228679,131
1581612228704,132
1581612228782,131
1581612228808,132
1581612228833,131
1581612228883,132
1581612229039,131
1581612229144,132
1581612229224,131
1581612229299,132
1581612229324,131
1581612229349,132
1581612229401,131
1581612229453,132
1581612229479,131
1581612229528,132
1581612229629,131
1581612229680,132
1581612229705,131
1581612229730,132
1581612229833,131
1581612229911,132
1581612229988,131
1581612230012,132
1581612230064,131
1581612230138,132
1581612230240,131
1581612230314,130
1581612230341,132
1581612230469,131
1581612230519,132
1581612230595,131
1581612230620,132
1581612230830,131
1581612230881,132
1581612231033,131
1581612231057,132
1581612231239,131
1581612231265,132
1581612231469,131
1581612231569,132
1581612231646,131
1581612231696,132
1581612231833,131
1581612231864,132
1581612231890,131
1581612231915,132
1581612232067,130
1581612232093,132
1581612233342,130
1581612233367,132
1581612233469,130
1581612233494,132
1581612233620,130
1581612233645,132
1581612233695,131
1581612233721,132
1581612233746,131
1581612233771,132
1581612233875,131
1581612233925,132
1581612233976,132
1581612234026,132
1581612234078,131
1581612234104,130
1581612234129,132
1581612234538,130
1581612234563,132
1581612234919,131
1581612234970,132
1581612235100,131
1581612235128,132
1581612235357,131
1581612235382,132
1581612235482,131
1581612235508,132
1581612236072,131
1581612236099,132
1581612236482,131
1581612236514,132
1581612236566,130
1581612236593,132
1581612236670,131
1581612236721,132
1581612237079,131
1581612237104,130
1581612237131,131
1581612237156,132
1581612237310,131
1581612237360,130
1581612237386,132
1581612237488,131
1581612237540,132
1581612237568,130
1581612237594,132
1581612237622,131
1581612237648,132
1581612237775,131
1581612237800,132
1581612237877,131
1581612237902,132
1581612237931,131
1581612237984,132
1581612238035,131
1581612238060,132
1581612238110,131
1581612238163,132
1581612238546,131
1581612238571,132
1581612238723,131
1581612238748,132
1581612238799,131
1581612238849,132
1581612238874,131
1581612238900,132
1581612238950,131
1581612238975,132
1581612239051,131
1581612239077,132
1581612239183,131
1581612239208,132
1581612239336,131
1581612239387,132
1581612239565,131
1581612239615,132
1581612239718,131
1581612239795,132
1581612239975,131
1581612240027,132
1581612240052,131
1581612240079,132
1581612240153,131
1581612240179,132
1581612240334,131
1581612240386,132
1581612240487,131
1581612240514,132
1581612240564,131
1581612240588,132
1581612240743,131
1581612240793,132
1581612240870,131
1581612240895,132
1581612240972,131
1581612240998,132
1581612241177,131
1581612241227,132
1581612241582,131
1581612241633,132
1581612241710,131
1581612241762,132
1581612241813,131
1581612241838,132
1581612241994,131
1581612242021,132
1581612242149,131
1581612242175,132
1581612242380,131
1581612242432,132
1581612242562,131
1581612242588,132
1581612242639,131
1581612242667,132
1581612242720,131
1581612242745,132
1581612243001,131
1581612243028,132
1581612243158,131
1581612243183,132
1581612243310,131
1581612243335,132
1581612243388,131
1581612243438,132
1581612243466,131
1581612243491,132
1581612243543,131
1581612243646,130
1581612243671,132
1581612243796,131
1581612243898,132
1581612243977,131
1581612244029,130
1581612244056,132
1581612244209,131
1581612244235,132
1581612244364,131
1581612244415,132
1581612244618,131
1581612244669,132
1581612244770,131
1581612244846,130
1581612244872,132
1581612244975,130
1581612245001,132
1581612245155,131
1581612245205,132
1581612245230,130
1581612245256,132
1581612245616,131
1581612245641,132
1581612245819,131
1581612245844,132
1581612245894,131
1581612245919,132
1581612245970,131
1581612246049,132
1581612246253,130
1581612246279,132
1581612246409,131
1581612246460,132
1581612246562,131
1581612246587,132
1581612246664,131
1581612246689,132
1581612246793,131
1581612246868,132
1581612246895,131
1581612246920,132
1581612247023,131
1581612247048,132
1581612247073,131
1581612247099,132
1581612247151,131
1581612247230,132
1581612247255,130
1581612247280,132
1581612247586,130
1581612247611,131
1581612247636,132
1581612247663,131
1581612247716,132
1581612247795,131
1581612247823,132
1581612248026,131
1581612248052,130
1581612248078,130
1581612248103,132
1581612248232,131
1581612248257,130
1581612248282,132
1581612248409,131
1581612248486,132
1581612248664,131
1581612248714,132
1581612248923,131
1581612248948,132
1581612249024,131
1581612249077,132
1581612249431,131
1581612249482,132
1581612249661,131
1581612249738,132
1581612249764,131
1581612249789,132
1581612249866,131
1581612249892,132
1581612250045,131
1581612250095,132
1581612250223,131
1581612250325,132
1581612250505,131
1581612250531,132
1581612250657,131
1581612250709,132
1581612250862,131
1581612250887,132
1581612251318,131
1581612251372,132
1581612251397,131
1581612251525,130
1581612251554,132
1581612251631,131
1581612251657,132
1581612251683,131
1581612251733,132
1581612251834,131
1581612251910,132
1581612252038,131
1581612252063,132
1581612252190,131
1581612252240,132
1581612252291,131
1581612252321,132
1581612252424,131
1581612252551,132
1581612252576,131
1581612252652,132
1581612252703,131
1581612252728,132
1581612252881,131
1581612252907,132
1581612253087,131
1581612253112,132
1581612253316,131
1581612253345,132
1581612253396,131
1581612253422,132
1581612253523,131
1581612253574,132
1581612253751,131
1581612253779,132
1581612254059,131
1581612254137,132
1581612254162,131
1581612254188,132
1581612254314,131
1581612254364,132
1581612254517,130
1581612254542,131
1581612254567,132
1581612254848,131
1581612254873,132
1581612254899,131
1581612254951,132
1581612255105,130
1581612255130,132
1581612255181,131
1581612255207,132
1581612255694,131
1581612255720,132
1581612255923,131
1581612255974,132
1581612255999,131
1581612256023,132
1581612256101,130
1581612256126,131
1581612256151,132
1581612256331,131
1581612256383,130
1581612256408,132
1581612256484,131
1581612256535,132
1581612256560,131
1581612256613,132
1581612256690,131
1581612256716,132
1581612256972,131
1581612256998,132
1581612257124,131
1581612257175,132
1581612257227,131
1581612257253,132
1581612257279,131
1581612257331,132
1581612257357,131
1581612257437,132
1581612257517,130
1581612257569,132
1581612257595,130
1581612257622,130
1581612257646,132
1581612257698,131
1581612257828,132
1581612257934,131
1581612257985,132
1581612258195,131
1581612258246,132
1581612258348,131
1581612258401,132
1581612258530,131
1581612258631,132
1581612258733,131
1581612258762,132
1581612258967,131
