time,value
1581597242392,135
1581597242416,134
1581597242468,135
1581597242673,134
1581597242700,135
1581597242775,134
1581597242800,135
1581597242826,133
1581597242852,135
1581597243032,134
1581597243058,135
1581597243235,134
1581597243312,135
1581597243489,134
1581597243539,135
1581597243692,134
1581597243717,135
1581597243872,134
1581597243950,135
1581597244054,134
1581597244106,135
1581597244158,135
1581597244184,135
1581597244334,134
1581597244359,135
1581597244484,134
1581597244510,135
1581597244585,134
1581597244611,135
1581597244893,134
1581597244919,135
1581597244943,134
1581597245046,135
1581597245197,133
1581597245223,135
1581597245883,133
1581597245908,135
1581597246012,134
1581597246037,135
1581597246187,134
1581597246239,135
1581597246265,134
1581597246315,135
1581597246445,134
1581597246496,135
1581597246681,133
1581597246706,135
1581597246833,134
1581597246858,132
1581597246883,135
1581597246935,134
1581597246987,135
1581597247087,134
1581597247162,135
1581597247366,134
1581597247392,135
1581597247517,134
1581597247542,135
1581597247568,134
1581597247592,135
1581597247669,134
1581597247693,135
1581597247745,134
1581597247769,135
1581597247898,134
1581597247923,135
1581597247973,134
1581597248023,135
1581597248126,134
1581597248203,135
1581597248282,134
1581597248308,135
1581597248334,134
1581597248361,135
1581597248437,134
1581597248463,135
1581597248567,134
1581597248619,135
1581597248799,134
1581597248850,135
1581597248876,134
1581597248928,135
1581597248979,134
1581597249080,135
1581597249132,134
1581597249210,133
1581597249236,134
1581597249260,135
1581597249387,134
1581597249412,135
1581597249462,134
1581597249487,135
1581597249588,134
1581597249614,133
1581597249639,134
1581597249743,135
1581597249794,134
1581597249820,135
1581597249846,134
1581597249897,135
1581597249922,134
1581597249981,135
1581597250236,134
1581597250338,135
1581597250494,134
1581597250519,135
1581597250546,133
1581597250571,135
1581597250597,135
1581597250674,134
1581597250699,135
1581597250751,134
1581597250776,135
1581597250880,134
1581597250984,135
1581597251087,133
1581597251165,135
1581597251367,134
1581597251419,135
1581597251498,134
1581597251573,135
1581597251755,134
1581597251832,135
1581597251909,134
1581597251984,133
1581597252035,134
1581597252060,135
1581597252392,133
1581597252416,134
1581597252467,135
1581597252597,134
1581597252623,135
1581597252675,134
1581597252702,135
1581597252828,134
1581597252879,135
1581597252981,134
1581597253005,135
1581597253262,134
1581597253288,135
1581597253417,134
1581597253468,135
1581597253495,133
1581597253521,135
1581597254644,136
1581597254670,135
1581597254696,133
1581597254721,135
1581597254926,134
1581597254978,135
1581597255336,134
1581597255363,135
1581597255591,134
1581597255616,135
1581597255795,134
1581597255846,135
1581597256024,134
1581597256076,135
1581597256204,133
1581597256229,135
1581597257709,133
1581597257734,135
1581597257813,134
1581597257838,135
1581597257914,134
1581597257967,133
1581597257993,135
1581597258175,134
1581597258200,135
1581597258325,133
1581597258350,135
1581597258402,133
1581597258428,134
1581597258453,135
1581597258531,134
1581597258556,135
1581597258581,134
1581597258606,135
1581597258708,134
1581597258733,135
1581597258758,133
1581597258784,135
1581597258936,134
1581597258961,135
1581597259138,134
1581597259189,135
1581597259215,134
1581597259240,135
1581597259367,133
1581597259419,135
1581597259444,133
1581597259497,135
1581597259549,134
1581597259574,135
1581597259600,134
1581597259628,135
1581597259653,134
1581597259678,135
1581597259728,134
1581597259753,135
1581597259779,134
1581597259805,135
1581597259831,134
1581597259910,135
1581597260063,134
1581597260140,135
1581597260269,134
1581597260346,135
1581597260423,134
1581597260473,135
1581597260627,134
1581597260703,135
1581597260730,134
1581597260755,135
1581597260856,134
1581597260907,135
1581597260957,134
1581597260983,135
1581597261060,133
1581597261086,135
1581597261111,134
1581597261137,135
1581597261266,134
1581597261317,135
1581597261697,134
1581597261773,135
1581597261901,134
1581597261929,135
1581597262110,134
1581597262185,135
1581597262212,134
1581597262237,135
1581597262339,134
1581597262364,135
1581597262416,134
1581597262467,135
1581597262518,134
1581597262544,135
1581597262596,134
1581597262647,135
1581597263005,134
1581597263032,135
1581597263185,133
1581597263212,135
1581597263617,133
1581597263642,135
1581597263898,134
1581597263924,135
1581597264278,134
1581597264353,135
1581597264453,133
1581597264504,134
1581597264710,133
1581597264736,135
1581597265194,133
1581597265220,135
1581597265348,134
1581597265374,135
1581597265399,134
1581597265424,135
1581597265528,134
1581597265580,135
1581597265707,134
1581597265733,135
1581597265783,134
1581597265808,133
1581597265834,135
1581597265959,134
1581597265984,135
1581597266035,134
1581597266060,135
1581597266239,133
1581597266265,135
1581597266366,134
1581597266392,135
1581597266418,134
1581597266469,135
1581597266547,134
1581597266574,135
1581597266624,134
1581597266674,135
1581597266799,134
1581597266849,135
1581597266874,134
1581597266899,135
1581597267002,134
1581597267028,135
