time,value
1581612144980,132
1581612145082,131
1581612145108,132
1581612145287,131
1581612145312,132
1581612145338,131
1581612145388,132
1581612145695,131
1581612145720,132
1581612145848,131
1581612145873,132
1581612145900,131
1581612145927,132
1581612145978,131
1581612146003,132
1581612146029,131
1581612146054,132
1581612146337,131
1581612146362,132
1581612146437,131
1581612146487,132
1581612146512,131
1581612146588,132
1581612146664,131
1581612146715,132
1581612146740,131
1581612146791,132
1581612146919,131
1581612146996,132
1581612147121,131
1581612147146,132
1581612147321,131
1581612147346,130
1581612147371,132
1581612147698,132
1581612147724,132
1581612147749,131
1581612147825,132
1581612147878,131
1581612147954,132
1581612148057,131
1581612148135,132
1581612148161,130
1581612148186,132
1581612148288,131
1581612148313,132
1581612148516,131
1581612148542,132
1581612148722,131
1581612148773,132
1581612148799,130
1581612148824,132
1581612148850,131
1581612148877,132
1581612148952,131
1581612148978,132
1581612149079,130
1581612149104,131
1581612149129,132
1581612149333,131
1581612149437,132
1581612149515,131
1581612149592,132
1581612149695,131
1581612149772,132
1581612149798,132
1581612149823,132
1581612150126,131
1581612150202,132
1581612150331,130
1581612150356,132
1581612150408,131
1581612150434,132
1581612150511,131
1581612150563,132
1581612150767,131
1581612150792,132
1581612150944,131
1581612150969,132
1581612151172,131
1581612151197,130
1581612151222,132
1581612151731,131
1581612151807,132
1581612151959,130
1581612151986,131
1581612152012,130
1581612152037,132
1581612152165,131
1581612152216,132
1581612152319,131
1581612152369,132
1581612152723,132
1581612152749,132
1581612152776,131
1581612152826,132
1581612152852,131
1581612152903,132
1581612152954,131
1581612152979,130
1581612153004,132
1581612153186,131
1581612153236,132
1581612153287,131
1581612153312,132
1581612153337,131
1581612153362,132
1581612153387,131
1581612153412,132
1581612153718,130
1581612153746,132
1581612153798,131
1581612153823,132
1581612154130,130
1581612154155,132
1581612154180,130
1581612154205,132
1581612154256,131
1581612154283,132
1581612154333,131
1581612154384,132
1581612154563,131
1581612154640,132
1581612154694,131
1581612154720,132
1581612154773,130
1581612154799,132
1581612155030,130
1581612155055,132
1581612155080,131
1581612155105,132
1581612155181,131
1581612155233,132
1581612155361,131
1581612155411,132
1581612155436,131
1581612155487,132
1581612155614,131
1581612155640,132
1581612155744,131
1581612155821,132
1581612155974,130
1581612155999,131
1581612157205,130
1581612157233,131
1581612157260,132
1581612157435,130
1581612157461,132
1581612157766,130
1581612157869,132
1581612157895,131
1581612157920,132
1581612158022,130
1581612158048,132
1581612158175,131
1581612158253,132
1581612158329,131
1581612158354,132
1581612158379,131
1581612158405,132
1581612158429,131
1581612158479,132
1581612158556,131
1581612158582,132
1581612158607,131
1581612158631,132
1581612158732,131
1581612158783,132
1581612158887,131
1581612158911,132
1581612159167,130
1581612159191,132
1581612159243,131
1581612159268,132
1581612159444,131
1581612159496,132
1581612159623,131
1581612159648,132
1581612159804,130
1581612159856,132
1581612159882,131
1581612159908,132
1581612160087,130
1581612160116,132
1581612160241,131
1581612160266,132
1581612160393,131
1581612160419,132
1581612160471,130
1581612160497,132
1581612160548,131
1581612160573,132
1581612160648,131
1581612160700,132
1581612160827,131
1581612160878,132
1581612161008,131
1581612161057,132
1581612161261,131
1581612161287,130
1581612161312,132
1581612161597,131
1581612161623,132
1581612161674,131
