time,value
1581612129870,132
1581612129973,130
1581612130025,132
1581612130180,131
1581612130207,132
1581612130547,131
1581612130572,132
1581612130779,131
1581612130804,132
1581612130955,130
1581612130980,132
1581612131006,131
1581612131057,132
1581612131191,131
1581612131216,132
1581612131763,131
1581612131815,132
1581612131843,132
1581612131868,132
1581612131996,130
1581612132021,132
1581612132204,131
1581612132256,132
1581612132385,131
1581612132409,132
1581612132540,131
1581612132568,132
1581612132619,131
1581612132671,132
1581612132747,131
1581612132823,132
1581612133006,131
1581612133056,132
1581612133161,131
1581612133187,132
1581612133419,131
1581612133445,132
1581612133776,131
1581612133800,132
1581612133825,131
1581612133854,132
1581612133879,131
1581612133903,132
1581612133954,131
1581612133980,132
1581612134163,131
1581612134241,132
1581612134373,131
1581612134399,132
1581612134603,131
1581612134654,132
1581612135096,131
1581612135122,132
1581612135200,131
1581612135226,132
1581612135356,131
1581612135384,132
1581612135459,131
1581612135485,132
1581612135618,131
1581612135644,132
1581612135798,131
1581612135833,132
1581612136238,131
1581612136265,132
1581612136291,131
1581612136315,132
1581612136391,131
1581612136418,132
1581612136496,132
1581612136556,132
1581612136605,130
1581612136657,132
1581612136868,131
1581612136920,132
1581612137024,130
1581612137049,132
1581612137232,131
1581612137285,132
1581612137417,131
1581612137470,132
1581612137627,131
1581612137654,132
1581612137835,131
1581612137914,132
1581612138044,131
1581612138068,130
1581612138094,132
1581612138197,131
1581612138223,132
1581612138249,131
1581612138276,132
1581612138608,131
1581612138633,132
1581612138658,131
1581612138709,130
1581612138734,132
1581612138786,131
1581612138811,132
1581612138994,130
1581612139019,132
1581612139069,131
1581612139120,132
1581612139275,131
1581612139328,132
1581612139431,131
1581612139507,132
1581612139770,131
1581612139795,132
1581612139904,131
1581612139931,132
1581612140215,131
1581612140267,132
1581612140418,131
1581612140443,132
1581612140827,131
1581612140902,132
1581612141106,131
1581612141132,132
1581612141486,131
1581612141536,132
1581612141562,131
1581612141587,132
1581612141663,131
1581612141714,132
1581612141739,130
1581612141764,132
1581612141866,131
1581612141943,132
1581612142045,131
1581612142116,132
1581612142191,131
1581612142216,132
1581612142266,131
1581612142292,132
1581612142420,131
1581612142445,132
1581612142496,131
1581612142520,132
1581612142650,130
1581612142675,131
1581612143492,130
1581612143518,132
1581612143645,131
1581612143670,132
1581612143698,131
1581612143723,132
1581612143748,131
1581612143773,132
1581612144027,130
1581612144053,132
1581612144103,131
1581612144129,132
1581612144155,131
1581612144207,132
1581612144308,130
1581612144361,132
1581612144514,131
1581612144539,132
1581612144643,131
1581612144668,132
1581612144748,130
1581612144773,132
1581612144798,131
1581612144825,132
1581612144955,131
